text,朝食,夕食,風呂,サービス,立地,施設,部屋
いずれにしてもトータルでは大満足の宿泊でした。,1,1,1,1,1,1,1
タイミングよく中島公園の紅葉を客室より眺めることが出来ました。,0,0,0,0,0,0,1
バストイレセパレートなのはやはり快適です。,0,0,1,0,0,0,1
朝食も種類が多く、美味しかったです。,1,0,0,0,0,0,0
オープン直後とはいえ、顧客ニーズを考え色々な面で努力・工夫をしようとする形が見えていたように思います。,0,0,0,1,0,0,0
仕事で使用しましたが、また利用したいと思います。,1,1,1,1,1,1,1
スタッフの笑顔がよかったです。,0,0,0,1,0,0,0
チェックイン時から宿泊客を心地よく迎えようとする雰囲気が感じられました。,0,0,0,1,0,0,0
露天風呂は貸し切りで4か所あるのがうれしいです。,0,0,1,0,0,0,0
私はまず大浴場で体を洗ってからゆっくり露天風呂を楽しみました。,0,0,1,0,0,0,0
温泉は肌に良いようで化粧水いらずでした。,0,0,1,0,0,0,0
囲炉裏のある食事処は歴史を感じさせる風情がありました。,1,1,0,0,0,1,0
サーロインステーキは質・量とも大満足、とってもお得に感じました。,1,1,0,0,0,0,0
またこちらの女性支配人はお話が楽しく愉快に過ごすことが出来ました。,0,0,0,1,0,0,0
料理・温泉とともにおススメです！,1,1,1,0,0,0,0
次回は連泊で利用を考えています。,1,1,1,1,1,1,1
変わらず食事も美味しくアメニティも完璧に揃っていて着替えと下着だけ持ってけばいいので働くママとしては、旅行の準備も楽で助かります。,1,1,0,0,0,1,0
従業員の方の教育も行き届いてて接客も素晴らしいです。,0,0,0,1,0,0,0
数年前に利用したのもわかっててくれて大人っぽく成長した事のお話や息子さんでしょうか？,0,0,0,1,0,0,0
毎回いただく写真もグレードアップしていてこの写真は家族旅行のいい記念になります。,0,0,0,1,0,1,0
以前はチーズガーデンの試食のチケットだったのですが、今回は買い物割引券を頂き大好きなチーズケーキをお安く買って帰れました。,0,0,0,1,0,0,0
何から何まで致せりつくせりでありがとうございました。,1,1,1,1,1,1,1
温泉が熱かったが印象に残っていますが。,0,0,1,0,0,0,0
なかなか白っぽい温泉入れ無いので又行きたくなりますね。,0,0,1,0,0,0,0
料理も悪くなくリズーナブルで泊まれました。,1,1,0,0,0,0,0
・トイレのオシュレットが故障していました。,0,0,0,0,0,1,0
立地が駅から遠いのを除けば満点以上だと思いまず。,1,1,1,1,1,1,1
周囲の環境なども良く（函館山直下、元町エリアで夜は静か）、おすすめです。,0,0,0,0,1,0,0
電車通りのカレー、ジンギスカン、中通りの寿司に最近出来た若い大将の居酒屋、たこ焼き居酒屋やすき焼などグルメ盛り沢山。,0,0,0,0,1,0,0
コンビニ向かい、室内駐車場（これ北海道では凄く大事な事）、愛想のよいスタッフばかり。,0,0,0,1,1,1,0
リニューアルされたお部屋はとても綺麗で快適でした。,0,0,0,0,0,0,1
食事もお部屋で食べられて、またプランについていたアワビがふわふわで美味しかったです。,1,1,0,0,0,0,0
すぐにお布団もしきにきてくださって至れり尽くせりでした。,0,0,0,1,0,0,0
予約の時に何度も確認の電話しましたが対応がよくよかったです！,0,0,0,1,0,0,0
大人数だったので夕ご飯を宴会場にしてもらえ子供達も楽しめ大人も楽しめることができました！,0,1,0,1,0,0,0
ご飯も満足できました！,0,1,0,0,0,0,0
朝ごはんはいまいちだったかなと...,1,0,0,0,0,0,0
ロボットが受付だと聞いていたので、画面で操作出来たので、チェックインはスムーズでした！,0,0,0,1,0,0,0
朝食ですが数種ナン、数種のカレー、インド料理、ラッシー他飲み物に大満足!,1,0,0,0,0,0,0
立地はJR三ノ宮駅から徒歩5圏内で申し分ない。,0,0,0,0,1,0,0
出張族にとっては過度なサービスなど必要なく、スタッフ曰くスタンダードシングルとの事であったが広い部屋且つ清潔なバスやベッドがあれば十分である。,0,0,1,1,0,1,1
朝食も追加で食べる事ができ、3種類のオープンサンド（小生はスクランブルエッグをチョイス）から選べ、サラダ、フルーツ、ドリンクがセットで斬新であった。,1,0,0,0,0,0,0
ボリュームもあり、朝からしっかりと食べる事ができた。,1,0,0,0,0,0,0
部屋は広くてキレイでした。,0,0,0,1,0,0,1
樽に冷蔵庫は港町ぽく良かったです。,0,0,0,0,0,1,0
部屋にも化粧水など使いっきりのがあると嬉しかった。,0,0,0,0,0,1,0
部屋乾燥や室温調整が利いてなかったです。,0,0,0,0,0,1,0
下げても暑かったです。,0,0,0,0,0,1,0
全体的に満足でした。,1,1,1,1,1,1,1
１、駐車場の案内について：車の高さの制限で立体駐車場利用並びに満車のためということで、駐車が出来ませんでした。,0,0,0,0,0,1,0
そこで、「どこに止めたらいいですか。」と係りの人に聞きましたが、「契約駐車場が無いのでその辺のコインパーキングに止めて下さい。」と言われただけで周りの駐車場の説明もありませんでした。,0,0,0,1,0,0,0
他のホテルでは地図などのサービスが有りますが。,0,0,0,1,0,0,0
２、フロントの対応について：他のホテルと同等の対応で、特に不満は有りませんでした。,0,0,0,1,0,0,0
３、部屋の状況について：確かにリニューアルということで、きれいにはなっておりましたが、シングルの部屋に無理やりベットを置いてあるようで部屋内の移動にも苦労しました。,0,0,0,0,0,0,1
それよりはセミダブルベットを置いたほうが少しは部屋が広く使えるのではないでしょうか？,0,0,0,0,0,1,0
また、全体的に狭いためデスクも狭くタオル等を干す場所も無かったです。,0,0,0,0,0,1,1
また、ユニットバスに入る際、段差が大きすぎて足の悪い人は苦労されそうです。,0,0,1,0,0,0,0
４、朝食について：料理の数、レイアウトについても、他のホテルと同等でした。,1,0,0,0,0,0,0
ただ、体の小さな男性の年配の方（もしかして責任者の方？）は、テキパキと動かれ、利用者の対応にも好感が持てました。,0,0,0,1,0,0,0
５、総合的評価について：部屋のリニューアルをされ色々と宿泊者を増やすための努力は認めますが、色んな物を詰め込み過ぎて寛ぐ場を失われているように感じられます。,0,0,0,0,0,0,1
また、今回は前泊者がセットした備え付けの目覚まし時計が朝５時ごろに鳴り出し、せっかくの睡眠が邪魔されたことに妻が機嫌が悪かったです。,0,0,0,1,0,1,0
ちょっとした確認も必要ではないでしょうか。,0,0,0,1,0,0,0
ハウステンボス園内にある最も評価の高かったホテルでしたので期待していましたが、見た目の豪奢さとは裏腹のサービスレベル等の低さに失望しました。,0,0,0,1,0,0,0
②ホテルにチェックインする際、フロントの奥にフロント係らしき方はいらっしゃったのですが、こちらから声掛けするまで対応してもらえませんでした。,0,0,0,1,0,0,0
また、初めてハウステンボスに来たことを伝えましたが、フロント係の方の案内が不親切に感じました。,0,0,0,1,0,0,0
しかも、部屋までの案内が無く、部屋を探しながら自分たちで荷物を運んで部屋まで行く始末でした。,0,0,0,1,0,0,0
館内は清潔感があり、食事スペースも綺麗です。,1,1,0,1,0,1,0
が、部屋はユニットバスが古く、排水が遅いのでシャワーも手洗いも詰まりやすい。,0,0,1,0,0,0,0
贅沢な夕食部屋食で、お世話になりした。,0,1,0,0,0,0,0
たっぷりと新鮮な海の幸に、さすが、小浜の旅館だ！と、感動しました。,1,1,0,0,0,0,0
母が高齢なことを事前にお願いしており、希望通りにエレベーターに近いお部屋を用意していただけていました。,0,0,0,1,0,0,0
牛乳やジュース、ヨーグルトなどがあれば、もっと良かったかな。,1,0,0,0,0,0,0
歴史のある、古い旅館なので、ベッドはなく、高齢の母にはもう無理のようです。,0,0,0,0,0,1,0
大きなお風呂も古いままで、全く趣もなく残念な気がします。,0,0,1,0,0,0,0
畳や布団を、見直していただきたいです。,0,0,0,1,0,1,1
一面真っ白、雪景色が綺麗でした。,0,0,0,0,1,0,0
お部屋は、和室で広々綺麗。,0,0,0,1,0,0,1
5人でも充分な広さでゆっくり過ごせました。,0,0,0,0,0,0,1
温泉は最高、夜と朝2回つかりました。,0,0,1,0,0,0,0
ドリンク、かき氷のセルフサービスもあり温泉につかったあとの喉の渇きを一気に潤してくれました。,0,0,0,0,0,1,0
朝食バイキングも、種類豊富でお腹一杯召し上がりました。,1,0,0,0,0,0,0
会場も広々でゆっくり食事出来とても美味しかったです。,1,0,0,0,0,1,0
フロントスタッフの皆さん親切に対応下さりありがとう御座いました。,0,0,0,1,0,0,0
部屋はツイン並みの広さでよかったですが、セーフティボックスの扉が閉まらず使えませんでした。,0,0,0,0,0,1,1
朝食時、おかわりを取りに行っている間に従業員の方がお盆ごと持っていこうとしたので、「まだ食べてます」と言ったら「はー」みたいな感じで、立ってる相手から必要なものをお盆から自分で取り出しました。,1,0,0,1,0,0,0
一声かけてから持っていってはいかがでしょうか。,0,0,0,1,0,0,0
とりあえず、２食付きで夕食もおいしくコスパはよかったです。,0,1,0,0,0,0,0
銀閣寺、永観堂、南禅寺等徒歩圏内の立地、京都駅からの送迎付もとても良かったです。,0,0,0,1,1,0,0
素晴らしいリゾートホテルです、自然に囲まれて、最近の軽井沢の賑やかさを忘れるほどです。,0,0,0,0,1,0,0
コンビニ等は、車で行かないと行けない距離です。,0,0,0,0,1,0,0
多少の不便さがいいです、せっかく綺麗なエントランス前が駐車場になってるのが、残念でした、少し離れても、エントランス前は、ロータリーのままにして欲しかったです、あまり便利でなんでも揃ってる、シティーホテルには、ならないでください。,0,0,0,0,0,1,0
部屋がお香のような臭いがした。,0,0,0,0,0,0,1
それほど気にはならなかったがちょっと・・朝食は品数の割には食べたいものが少なかった。,1,0,0,0,0,0,0
便座が冷たすぎる！,0,0,0,0,0,0,1
立地も良く、大分に行くときはいつも利用させていただいております。,0,0,0,0,1,0,0
しかも今回の朝食は２回とも前夜のミュージカル出演の俳優さんたちを間近に拝見できて、大変贅沢な朝食でした。,1,0,0,0,0,0,0
お料理もとてもおいしく宿の外観、お部屋までの廊下の雰囲気、とても素敵です。,1,1,0,0,0,1,1
送迎バスの方がホテルに着く前に近くの名所に案内してくれらり、ロクシタンのアメニティーはリッチな気分にさせてくれました。,0,0,0,1,0,1,0
料金以上のもてなしで良い旅になりました。,0,0,0,1,0,0,0
皆さんんお投稿コメントの通り料理もおいしく食べきれなかった分は翌朝においしくいただきました。,1,1,0,0,0,0,0
お部屋もきれいでスタッフさんも気安く対応いただき楽しく過ごせました。,0,0,0,1,0,0,1
ヌルヌルとろとろの湯。,0,0,1,0,0,0,0
部屋も広くてゆったり。（ただ和室に布団寝たり起きたりが老体にはきつかった）,0,0,0,0,0,1,1
もう一工夫あったらと思います。,1,0,0,0,0,0,0
ご飯はとても美味しかった。,1,0,0,0,0,0,0
こじんまり落ち着くお宿でした。,0,0,0,0,0,1,1
部屋は十分に広く、眺望も良い所を提供して頂きました。,0,0,0,0,0,0,1
せっかくだから船にも乗ってみようと浦島にも行きましたがこちらの風呂でもどちらでもいいかんじです。,0,0,1,0,0,0,0
料理は美味しかったし、品数も多くて満足しました。,1,1,0,0,0,0,0
夫婦そろってたくさん食べるほうですが満腹でした。,1,1,0,0,0,0,0
船着き場に面した立地で旅行気分も上がります。,0,0,0,0,1,0,0
宿の方たちも気さくな感じでくつろげたし、こちらに旅行される方にはお勧めします。,0,0,0,1,0,0,0
こちらのパールオーロラ風呂はとても良く、すべすべになりました。,0,0,1,0,0,0,0
食事の時間も対応して頂き、有りがたかったです。,0,0,0,1,0,0,0
料理とお風呂に拘る父がとても満足してくれたようで、こちらも満足です。,1,1,1,0,0,0,0
車で到着したのですが宿の方がお迎えに来てくれたり、食事の際にも程よい距離感で説明やフォローを頂けました。,0,0,0,1,0,0,0
本当に気分良く過ごせました。,0,0,0,1,0,0,0
チェックアウトの際にもみなさん出てこられ、最後まで手を振ってのお見送りを頂きました。,0,0,0,1,0,0,0
朝食がおいしかった記憶があり今回も利用しました。,1,0,0,0,0,0,0
イクラがあれば満点でした。,1,0,0,0,0,0,0
初めてのプランでしたが、ボリュームたっぷりの夕食で、大変美味しくいただきました。,0,1,0,0,0,0,0
夕食時にお願いした利き酒セットも、好みに合わせてチョイスしてくださり、家族で少しずつ色々なお酒を楽しむことができました。,0,1,0,1,0,0,0
岩盤浴も計画していたのですが、大盛況のようで、今回はあきらめました。,0,0,1,0,0,0,0
骨休め、気分転換に、時々宿泊していますが、いつも満足して帰路につきます。,1,1,1,1,1,1,1
天城の山奥にあり、滝や清流を眺めながら静かに過ごすことができました。,0,0,0,0,1,0,0
部屋に露天風呂が付いていてこの値段なら申し分ないです。,0,0,1,0,0,0,0
・部屋の洗面所付近が臭い。,0,0,0,1,0,0,1
使い捨てコンタクトがこびりついていた・部屋の露天風呂に入る際、着替えるために衝立があるといいと思った・ぱっと見はリフォーム済だが、所々壁紙がこすれたりはがれたりしていて目に付く・夕飯のバイキングは出し惜しみしている感じ。,0,1,1,1,0,1,1
廃棄が出ないようにするのも大切だが、追加がない品があり残念。,0,1,0,0,0,0,0
朝食に生のフルーツがないのも残念。,1,0,0,0,0,0,0
全体的には悪いとは思わないが…大浴場や洞窟風呂は雰囲気がよく楽しめました。,0,0,1,0,0,0,0
フロントでのお迎えも気持ちよく、コーヒーを飲みながらロビーでゆっくりできるのもいいです。,0,0,0,1,0,1,0
料理はやはり魚が美味しかったです。,1,1,0,0,0,0,0
行きたいお店の情報もしっかり調べてくださって、ありがたかったです。,0,0,0,1,0,0,0
部屋も広く、のびのび出来ました。,0,0,0,0,0,0,1
掃除も出来ていて、全体的にとても満足です。,0,0,0,1,0,0,1
ソファが少し硬かったような・・・。,0,0,0,0,0,1,0
スタッフの皆様に温かく迎えて頂きました。,0,0,0,1,0,0,0
お料理のボリュームも抜群でした。,1,1,0,0,0,0,0
一言で言えないくらいすべて良かったです。,1,1,1,1,1,1,1
お食事も豪華で和洋折衷ご用意されていて、小学生の息子達も大満足でした。,1,1,0,0,0,0,0
お風呂もくつろげて、お肌しっとりです（*´∀｀）ロビーや廊下の将棋盤も自由に使わせていただき、将棋好きな我が家は大満足でした。,0,0,1,0,0,1,0
ラウンジはジャズが流れとても落ち着く雰囲気でくつろげました。,0,0,0,0,0,1,0
食事もとても美味しく頂きました。,1,1,0,0,0,0,0
温泉に行く時のかごバッグ良かったです！,0,0,0,0,0,1,0
とても心つかいある宿で良かったです。,0,0,0,1,0,0,0
とにかくお料理が美味しい。,1,1,0,0,0,0,0
すべてに手が掛かっていて、こだわりを感じます。,1,1,0,0,0,0,0
お部屋の露天風呂もきもちいい。,0,0,1,0,0,0,0
部屋やお風呂は若干狭いですが、新しいこともあり、フロントから部屋までとてもきれいで、天井や部屋番号のプレートなど京都らしく和のテイストが施されておりました。,0,0,1,0,0,1,1
量も多く味も美味しかったので満足しました。,1,0,0,0,0,0,0
この部屋や朝食でこの値段なら次に京都に来た際も是非利用したいと思います。,1,0,0,0,0,0,1
朝食は美味しかったです。,1,0,0,0,0,0,0
部屋のお風呂に体を洗う為のボディタオルが欲しかったです。,0,0,0,0,0,1,0
スポンジがありましたが、あれでは背中が洗えません。,0,0,0,0,0,1,0
神宮通り公園を入って静かな立地です。,0,0,0,0,1,0,0
ドーミーさんは清潔な大浴場と夜鳴きそばのサービスが嬉しくてよく利用しています。,0,1,1,1,0,0,0
朝食も種類豊富でとても美味しいです。,1,0,0,0,0,0,0
お肉がとても美味しかったです。,1,1,0,0,0,0,0
お風呂は、露天風呂と内風呂がありますが露天風呂から景色は見えず、内風呂とあまり変わらない感じがします。,0,0,1,0,0,0,0
お部屋もきれいでくつろげました。,0,0,0,1,0,0,1
到着して、ロビーでのお抹茶とお菓子は美味しかったです。,0,0,0,1,0,0,0
ですが3時のチェックインに４組ぐらいが重なり従業員が少なく、お抹茶を飲み干してもずっと待たされました。,0,0,0,1,0,0,0
従業員の手際が悪すぎる。,0,0,0,1,0,0,0
貸切の華の湯は、シャワーから湯船が近すぎて、シャワーの水とか中に入るんじゃないか？と思うし、屋上の貸切には内湯がないため、寒い時期は、入れたものではありません。,0,0,1,0,0,0,0
家族で旅行なので貸切時間も45分だと、慌てて交代して入浴する感じになってしまう。,0,0,1,0,0,0,0
お部屋もタブレットで全て操作できて便利だが、3人には狭く、ベッドも低いので、ベッドの足元の木枠に足を引っ掛けて危なかったです。,0,0,0,0,0,1,0
夕食時も女将さんらしき方と従業員さんが交互にいらしたが、なんの会話もなく事務的にこなしてる感じ。,0,0,0,1,0,0,0
帰りのチェックアウト後も人がたりず、お見送りもなにもなかった。,0,0,0,1,0,0,0
少しわかりづらい所にありましたが、清潔な館内、感じのよいスタッフのみなさんのおかげで大変気持ちよく過ごす事ができました。,0,0,0,1,1,1,0
窓から見える桜並木も満開で景色も最高の日でした。,0,0,0,0,0,0,1
夕食、朝食ともに少量ずついろいろなものをいただけましたし、味付けもちょうどよくお腹いっぱいに完食しました。,1,1,0,0,0,0,0
お風呂も湯温がちょうどよく、広々していて良かったです。,0,0,1,0,0,0,0
足湯付きの部屋はとても綺麗で、居るだけでテンションが上がり、何度も入ってしまいました笑お料理も美味しく、貸切露天風呂での雪見風呂も素敵で、従業員の方の対応も親切で言うことなしでした！,1,1,1,1,0,0,1
スタッフの方のフレンドリーな対応、自分の家に帰るような気持ちにさせて頂きました。,0,0,0,1,0,0,0
館内全体が薄暗いので静かにリラックスできます。,0,0,0,0,0,1,0
メリハリがあるところもとても良かったです！,0,0,0,1,1,1,0
新宿駅新南口から大変近く、夜遅くても、駅改札隣の飲食店が利用できました。,0,0,0,0,1,0,0
お部屋も快適でした。,0,0,0,0,0,0,1
とにかくご飯がおいしい！！,1,1,0,0,0,0,0
おなか一杯限界まで頂きました。,1,1,0,0,0,0,0
あまり大きな旅館ではないせいか、お風呂で他のお客と時間が被ることもあまりなく、ゆっくり旅を楽しみたい方にはオススメの旅館。,0,0,1,0,0,0,0
チェックアウト時のコーヒーもおいしかったし、チョコケーキとフルーツを食べれるのも最高にうれしかった。,1,0,0,1,0,0,0
なかなかチェックアウト時にこういうサービスをしてくれる所はない。,0,0,0,1,0,0,0
一つ提案があるとすれば、食事の個室に呼び出しができるボタンが欲しい。,0,0,0,0,0,1,0
やはりチェックイン２時、アウト１１時はゆったり出来ました。,0,0,0,1,0,0,0
打たせ湯の復活は無いのでしょうか？,0,0,1,0,0,0,0
朝食のキノコを自分で焼くのは、時間もかかるし味付けも何で付けるか解りませんでした。,1,0,0,0,0,0,0
部屋からの眺望も素晴らしい。,0,0,0,0,0,0,1
仕切りや配置にひと工夫ほしいと思った。,1,1,0,0,0,0,0
せつかくの立地があるのに、料理の内容も、もったいないなと思いました。,1,1,0,0,1,0,0
まず残念だったのは、着いた時の対応です。,0,0,0,1,0,0,0
誘導してくれる方が、いらっしゃいませと言う感じでもなく、理由も告げられないまま鍵は預かりますとの事。,0,0,0,1,0,0,0
チェックアウトの際も、車を玄関に移動してくれる訳でもなく、お馴染みさんとの対応の違いが酷かったです。,0,0,0,1,0,0,0
ウエルカムドリンクは嬉しかったけど、運んで来る時にマドラーを床に落としたのに、そのままテーブルにおかれました。,0,0,0,1,0,1,0
お料理もお部屋も、お風呂も良かったのに、何となく満足できなかったのは残念でした。,1,1,1,0,0,0,1
食事はとても美味しく食べきれない位、温泉はつるつる。,1,1,1,0,0,0,0
従業員の接客も良く、サービス満点。,0,0,0,1,0,0,0
4，5人のスタッフの方と接しましたがみんな同じように親切でした。,0,0,0,1,0,0,0
教育が行き届いている。,0,0,0,1,0,0,0
サイドメニューのポタージュが絶品でした。,1,1,0,0,0,0,0
岩魚もとても美味しかった。,1,1,0,0,0,0,0
朝急いでいたので無理を言って少し早く食事をさせてもらいました。,0,0,0,1,0,0,0
ホテルの内外観共に綺麗で、従業員お方の対応も大変感じがよく、気持ちよく利用をさせて貰っています。,0,0,0,1,0,1,0
ただ、贅沢を言うならば枕元にコンセント、若しくは室内に延長コードなどがあれば尚嬉しいですが、そこまで臨むのは野暮でしょうね。,0,0,0,0,0,1,0
部屋は素晴らしく、お庭の緑も雨に濡れ美しかったです。,0,0,0,0,0,0,1
食事は別室で頂いたのですが、静かで一つ一つが丁寧に作られており家族で堪能いたしました。,1,1,0,0,0,0,0
10歳の息子への配慮もあり美味しく頂きました。,1,1,0,1,0,0,0
部屋の冷蔵庫には自由に飲めるお茶やジュースが充実していました。,0,0,0,0,0,1,0
部屋付きの露天風呂もとても気持ちよく複数回入りました。,0,0,1,0,0,0,0
値段相応の部屋で我が家には贅沢すぎるくらいでした。,0,0,0,0,0,0,1
アメニティーも大変充実しており、特に女性にはうれしい配慮が随所にみられました。,0,0,0,0,0,1,0
また特別な日に利用したいと思います。,1,1,1,1,1,1,1
チェックインから部屋まで、一人の方が案内してくださったので安心でした。,0,0,0,1,0,0,0
高田馬場駅からも、パスの送迎があり便利です。,0,0,0,1,0,0,0
ただ遅い時間で間に合わないと、歩いて行くのは早稲田駅からでも寒くて少し遠いです。,0,0,0,0,1,0,0
アルコールに強くないとお店の方に相談したところ、少し弱めにカクテルを作ってくださり、感謝です。,0,0,0,1,0,0,0
のんびり温泉、お部屋食ができてよかったです。,1,1,1,0,0,0,0
食事も量も味も満足です。,1,1,0,0,0,0,0
私は年月を重ねたこの旅館の風情が好きです。,1,1,1,1,1,1,1
建物はそのまま使い、中の設備は新しく便利なものにされているところが、これぞ温泉旅館というものを楽しみ、快適に過ごせてとてもよかったです。,1,1,1,1,1,1,1
また、温水プールに子供は喜んでいました。,0,0,0,0,0,1,0
食事はとてもおいしくほとんど全種類ひと口は食べました。,1,1,0,0,0,0,0
まず部屋に入って感じたのは清潔感がありません。,0,0,0,1,0,0,1
天井の照明、ベッドのランプシェード、冷蔵庫の脇が埃だらけ。,0,0,0,1,0,1,1
浴室は臭く、トイレには長い髪の毛がありました。,0,0,1,1,0,0,1
酷い埃のせいか、アレルギー性鼻炎が悪化。,0,0,0,1,0,1,1
クシャミと身体の痒みが治らず薬を飲んで一夜を過ごしました。,0,0,0,1,0,1,1
テーブルもベタつきがあって、部屋も薄暗い。,0,0,0,1,0,1,1
更に朝食会場に7時に行ったらスタッフがおらず、奥でお喋りしている声だけが聞こえる。,1,0,0,1,0,0,0
何度か声をかけてやっと気づく始末。,1,0,0,1,0,0,0
宿泊されている方々のコメント読んだら良さそうでしたが、悪い印象が重なりすぎました。,0,0,0,1,0,0,0
残念ながら私には無理なホテルです。,1,1,1,1,1,1,1
お部屋の水回りと備え付けのテーブルは古いが、女性のみの大浴場には大満足、男性ごめんなさい。,0,0,1,0,0,1,1
選べるシャンプー、コンディショナーがオシャレ。,0,0,0,0,0,1,0
近隣の飲み屋さんも選び放題。,0,0,0,0,1,0,0
露天風呂が混浴だったのですが、せっかく2つあるので、女性優先と男性優先にしてほしいと思いました。,0,0,1,0,0,0,0
女性は浴衣を着て入るとはいえ、混浴に抵抗のある人もいると思います。,0,0,1,0,0,0,0
実際、男性が入られていたせいか、お風呂の手前で引き返される女性の方がいらっしゃって気の毒でした。,0,0,1,0,0,0,0
フロントの方はとても親切でした。,0,0,0,1,0,0,0
まず、フロントの方の対応は満点でした。,0,0,0,1,0,0,0
笑顔や立ち振る舞い、完璧です。,0,0,0,1,0,0,0
また、自分の不注意で備え付けのドリップコーヒーの粉を絨毯床に落としてしまった際も、専用の清掃スタッフではないので完璧に…とはいかなかったものの、しっかり対応していただけました。,0,0,0,1,0,0,0
あと独立風呂は最高です。,0,0,1,0,0,0,0
…が、湯船の淵に直毛（多分髪の毛）が2本ほど付着していたのが気になりました。,0,0,0,1,0,0,0
私以前の宿泊者の可能性もあるとは思いますが、おそらく清掃スタッフの抜け毛なのでしょう。,0,0,0,1,0,0,0
私自身は極端ではなければそんなに気にしないのですが、人によっては『清掃されていない！』と怒る方もいるでしょうから、最終確認はしっかりする必要はあると思います。（できれば、清掃担当者以外の目で。）,0,0,0,1,0,0,0
椅子は通常のものへの変更を検討した方がいいと思います。,0,0,0,0,0,1,0
その他、エレベーターやコインランドリールームへの入室等、これでもかといわんばかりのセキュリティには驚かされました。,0,0,0,0,0,1,0
確かに多少面倒と感じる面は否定できませんが、これはこれで素晴らしいシステムだと思います。,0,0,0,0,0,1,0
またベッドなのですが、なんとなく羽毛布団（？）が薄い気がし、寒かったです。,0,0,0,0,0,1,0
割と暖房を強くしないといけない気がします。。,0,0,0,0,0,1,0
81歳の母も一緒でしたが広いお部屋とブランコが気に入ってたようです。,0,0,0,0,0,1,1
ワンコのアメニティもそろっていて、何の不自由もありません。,0,0,0,0,0,1,0
建物はそれなりに古さはありましたが（窓の外の坪庭は壊れたままでどうせなら撤去して玉砂利だけでもすっきりするのでは）他のコメントにあるような消臭剤?とかは気になりませんでした。,0,0,0,0,0,1,0
部屋からお風呂までは少し遠かったかな。,0,0,0,0,1,0,0
あっ、トイレの鍵が壊れててちょっと困りました。,0,0,0,0,0,1,0
ここのお宿に決めたのは、お風呂以外ワンコと一緒にいられること。,0,0,0,1,0,0,0
飲み物無料もよかっです。,0,0,0,0,0,1,0
お料理も私の伝え方が悪く頼んでいたものと少し違ったけどすぐに対応して頂けました。,0,0,0,1,0,0,0
スタッフの方も笑顔いっぱいで対応も良くまた行きたいと思ったお宿でした。,0,0,0,1,0,0,0
立地:温泉地の奥にあり、とても静か。,0,0,0,0,1,0,0
ただ、くしゃみと鼻水が止まらず、ハウスダストなどのアレルギーの方は注意。,0,0,0,1,0,0,1
廊下や隣の音はやや気になるレベル。,0,0,0,0,0,1,1
料理:量も質も値段以上。,1,1,0,0,0,0,0
露天や桧風呂もすべて熱いのが難点。,0,0,1,0,0,0,0
折角の大浴場で長風呂が出来ないのがとても残念。,0,0,1,0,0,0,0
ぬる湯好きにはお勧めできない。,0,0,1,0,0,0,0
結果非常によいところでした。,1,1,1,1,1,1,1
価格とサービスを考えればいままでいろいろ宿泊した中でも、かなり上位かなと思います掃除やサービスも行き届いてて、こんなに安いのに申し訳ないなと思いましたまた行くと思います,0,0,0,1,0,0,0
夕日も綺麗に見えてとてもよかったです。,0,0,0,0,0,0,1
フェイスタオルの替えを浴場に置いて頂けると尚良かったです。,0,0,0,0,0,1,0
何回も温泉に入浴したので、タオルの替えはわかるところにあると良いなと思いました。,0,0,0,0,0,1,0
友人の予約でしたが思ったより駅から遠かったです。,0,0,0,0,1,0,0
部屋はきれいでした。,0,0,0,1,0,0,0
窓の外が見えませんでしたので閉鎖感がある。,0,0,0,0,0,0,1
配膳係が注意すべき。,0,0,0,1,0,0,0
外人の方が多く、チェックアウトに時間がかかった。,0,0,0,1,0,0,0
ただ、部屋は広く、空気清浄機も備え付けられていた。,0,0,0,0,0,1,1
部屋からは海も見えるなど眺望は良かった。,0,0,0,0,0,0,1
サービスを５点にしたのは、私をロビーで待つ家族にお茶を出してくれたためである。,0,0,0,1,0,0,0
チェックインが予定より早く３時前でしたが、こころよく対応していただきました。,0,0,0,1,0,0,0
伝統のある旅館で、料理も期待通りで仲居さんの対応も良かったので落ち着いて過ごせました。,1,1,0,1,0,0,0
車は入口で預かってくれ、荷物も部屋まで届けて貰い館内サービスを丁寧に案内。,0,0,0,1,0,0,0
お風呂に食事も満足！,1,1,1,0,0,0,0
部屋からの眺めは残念。,0,0,0,0,0,0,1
和室のため布団1枚で腰が痛く、マットレスが有れば良かった。,0,0,0,0,0,1,0
全体的には満足で、次回は洋室で再度宿泊したい。,1,1,1,1,1,1,1
スタッフの皆様ありがとうございました。,0,0,0,1,0,0,0
スタッフの対応も非常に良く、我が儘も聞いてもらえ大変満足しました♪,0,0,0,1,0,0,0
料理も美味しくいただけました。,1,1,0,0,0,0,0
ホテルの情報で、駅から12分とありましたが、グーグルで見ても15分と表示されており、実際も15分はきっちりかかっています。,0,0,0,1,1,0,0
結局、ホテルの行き帰りは徒歩でした。,0,0,0,1,0,0,0
朝食が非常に美味しかったです。,1,0,0,0,0,0,0
駅からも近くて大変便利でした。,0,0,0,0,1,0,0
館内はとても綺麗に掃除されており、清潔感がありました。,0,0,0,1,0,0,0
ホテルと駅が直結していて、大浴場と売店も駅に直結しており、他のホテルにはない特色があり面白かったです。,0,0,0,0,1,0,0
また、フロントの女性が色々と高畠の観光案内をしてくれ、お勧めのお店も教えてくれました。,0,0,0,1,0,0,0
